Sl No.,Name,Genre,Ratings,Description,Cast,Votes,Certificate
1,Ahsoka,"Action, Adventure, Drama","8.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8/10
X","After the fall of the Galactic Empire, former Jedi Knight Ahsoka Tano investigates an emerging threat to a vulnerable galaxy.","Rosario Dawson, Natasha Liu Bordizzo, Mary Elizabeth Winstead, David Tennant","36,186",
2,Poor Things,"Romance, Sci-Fi","8.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8/10
X
 



94        
        Metascore","The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.","Yorgos Lanthimos, Emma Stone, Mark Ruffalo, Ramy Youssef, Willem Dafoe",728,R
3,Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure","7.3




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.3/10
X
 



74        
        Metascore",The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,"Jeff Rowe, Kyler Spears, Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon","33,388",PG
4,Indiana Jones and the Dial of Destiny,"Action, Adventure, Sci-Fi","6.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.7/10
X
 



58        
        Metascore",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"James Mangold, Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, Karen Allen","1,20,370",UA
5,Foundation,"Drama, Sci-Fi","7.5




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.5/10
X",A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"Jared Harris, Lou Llobell, Leah Harvey, Terrence Mann","79,687",U/A 16+
6,The Flash,"Action, Adventure, Fantasy","6.8




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.8/10
X
 



55        
        Metascore","Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","Andy Muschietti, Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon","1,68,696",UA
7,American Horror Story,"Drama, Horror, Sci-Fi","8.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8/10
X","An anthology series centering on different characters and locations, showcasing different aspects of horror.","Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson","3,31,654",A
8,Gen V,"Action, Adventure, Comedy",,"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking.","Jaz Sinclair, Chance Perdomo, Lizze Broadway, Maddie Phillips",,
9,Blue Beetle,"Action, Adventure, Sci-Fi","6.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.7/10
X
 



61        
        Metascore","An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.","Angel Manuel Soto, Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar","28,778",PG-13
10,Black Mirror,"Drama, Mystery, Sci-Fi","8.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.7/10
X","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Wunmi Mosaku, Monica Dolan, Daniel Lapaine, Hannah John-Kamen","6,10,880",A
